PROVINCE,INFECTION_RATE,ICU_RATE,TEST_ALL,TEST_POS,TEST_POS_PERCENTAGE,TOTAL_TEST_PERCENTAGE,TOTAL_INFECTIONS,STANDARD_INFECTION,STANDARD_ICU,STANDARD_POS_TEST,RETAIL_AND_RECREATION,GROVERY_AND_PHARMACY,PARKS,TRANSIT_STATIONS,WORKPLACES,RESIDENTIAL
Antwerpen,0.7523,17.4108,261975,15244,5.8189,14.0114,14066,-0.6816,0.6614,-1.0867,-38.0968,5.0323,35.7097,-33.129,-19.7097,11.1613
BrabantWallon,0.9258,7.103,51882,4112,7.9257,12.7783,3759,-0.006,-1.6364,0.1592,-27.2083,6.2083,60.7917,-18.625,-22.4167,11.75
Brussels,1.0953,19.973,172612,14845,8.6002,14.1688,13343,0.6541,1.2325,0.5581,-50.3871,-5.0,35.0968,-39.129,-37.0,12.3548
Hainaut,1.022,18.409000000000002,153153,14680,9.5852,11.3713,13765,0.3686,0.8839,1.1407,-25.3226,2.4839,21.0323,-31.2903,-16.1935,8.5484
Liege,0.5583,14.7676,94742,6801,7.1784,8.5369,6196,-1.4371,0.0722,-0.2827,-28.3226,2.4516,21.8065,-18.8387,-19.0,8.871
Limburg,0.7296,15.0914,114906,7298,6.3513,13.0966,6401,-0.77,0.1444,-0.7718,-32.7419,5.2903,55.0645,-24.3226,-16.129,10.1613
Luxembourg,1.0783,13.1953,39000,3321,8.5154,13.6006,3092,0.5879,-0.2783,0.508,-26.129,11.3548,55.1613,-18.0323,-18.871,9.0323
Namur,1.4965,12.5472,69601,7757,11.145,14.0372,7420,2.2164,-0.4228,2.0631,-25.2903,8.4194,46.7419,-21.6774,-19.9032,9.6774
OostVlaanderen,1.0058,16.935,245278,17073,6.9607,16.0811,15341,0.3055,0.5553,-0.4114,-33.129,10.9032,18.4839,-23.7419,-19.4516,11.5161
VlaamsBrabant,0.688,5.9985,153045,8837,5.7741,13.241,7952,-0.932,-1.8826,-1.1132,-33.2258,2.129,51.9032,-42.6452,-27.7742,13.4516
WestVlaanderen,0.8488,17.4514,194275,12367,6.3657,16.1768,10194,-0.3058,0.6704,-0.7633,-31.7419,15.7097,17.2581,-16.129,-14.7742,10.129
